酒蔵,ブランド,商品名,メイン表採否,除外理由,ブランド史,個別商品の歴史,根拠区分,根拠URL,公開ページ日,ページ更新日,根拠抜粋,調査日
白牡丹酒造,藝陽男山,生酛純米酒 夏仕込み 生酒,収録,,明治時代から使用していた商標を、白牡丹創業350周年の2025年に復活。江戸期の酒造りを見直し、生酛・蓋麹法・木の半切桶と櫂による酛摺りなど伝統技法を用いる復刻銘柄として再始動した。,創業350周年を機に復活した「藝陽男山」の生酛純米酒を、生酒として展開する派生商品。伝統的な生酛造りの酒を加熱処理前の状態で味わう季節・流通限定ラインとして位置づけられる。,個別沿革確認,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e8%97%9d%e9%99%bd%e7%94%b7%e5%b1%b1%e3%80%91%e7%94%9f%e9%85%9b%e7%b4%94%e7%b1%b3%e9%85%92-%e5%a4%8f%e4%bb%95%e8%be%bc%e3%81%bf-%e7%94%9f%e9%85%92-720ml%e7%93%b6/,,2025-04-03T07:14:12+00:00,ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 公式ネットショップ お問合せ 商品検索 ブランドストーリー 酒造りへの思い 商品紹介 蔵めぐり・見学 白牡丹に合う料理 会社案内 藝陽男山 【日本酒 藝陽男山】生酛純米酒 夏仕込み 生酒 720ml瓶詰 常温便 酵母・乳酸無添加 生酛純米 生酒 生酛は自然の摂理にのっとって酵母をたくましく育ててゆく先人の知恵の結晶です。 | 蓋麹法による麹造り、木の半切桶と木の櫂による酛摺り等伝統技法に,2026-09-06
福美人酒造,福美人,上撰,収録,,蔵の公式直売ページでは、旧地名「福神」と「美人のようにふくよかで、やさしく穏やかな味」を目指したことが名の由来と説明される。1917年の創業以来、蔵の主銘柄として続いている。,2026-09-06時点で公式商品ページに現行品として掲載され、普通酒・上撰、使用米 国産米、精米歩合 70%の設計で展開されている。,現行商品位置づけ,https://www.fukubijin.co.jp/SHOP/2212.html,,,福美人酒造株式会社 [ フクビジン ] 全国の名杜氏を養成した蔵元より、高品質な日本酒をお届けします！ | 創業当初より、酒造りの技術力のたかさから、全国より酒造りを学びに来られたため、そう呼ばれるようになりました。 | 平成に入って、全国新酒鑑評会 金賞を７回受賞するなど、今なお高い評価を得ています。 | 高い醸造技術で極上の日本酒を醸す蔵元「福美人」より、おもわずひざ打つ感動の名酒をご提供しております。,2026-09-06
福美人酒造,福美人,上撰 さけパック,収録,,蔵の公式直売ページでは、旧地名「福神」と「美人のようにふくよかで、やさしく穏やかな味」を目指したことが名の由来と説明される。1917年の創業以来、蔵の主銘柄として続いている。,2026-09-06時点で公式商品ページに現行品として掲載され、普通酒・上撰、精米歩合 70%の設計で展開されている。,現行商品位置づけ,https://www.fukubijin.co.jp/SHOP/2268.html,,,福美人酒造株式会社 [ フクビジン ] 全国の名杜氏を養成した蔵元より、高品質な日本酒をお届けします！ | 創業当初より、酒造りの技術力のたかさから、全国より酒造りを学びに来られたため、そう呼ばれるようになりました。 | 平成に入って、全国新酒鑑評会 金賞を７回受賞するなど、今なお高い評価を得ています。 | 高い醸造技術で極上の日本酒を醸す蔵元「福美人」より、おもわずひざ打つ感動の名酒をご提供しております。,2026-09-06
福美人酒造,福美人,大吟醸,収録,,蔵の公式直売ページでは、旧地名「福神」と「美人のようにふくよかで、やさしく穏やかな味」を目指したことが名の由来と説明される。1917年の創業以来、蔵の主銘柄として続いている。,2026-09-06時点で公式商品ページに現行品として掲載され、大吟醸、使用米 山田錦（兵庫県産１００）、精米歩合 40%の設計で展開されている。,現行商品位置づけ,https://www.fukubijin.co.jp/SHOP/1157.html,,,福美人酒造株式会社 [ フクビジン ] 全国の名杜氏を養成した蔵元より、高品質な日本酒をお届けします！ | 創業当初より、酒造りの技術力のたかさから、全国より酒造りを学びに来られたため、そう呼ばれるようになりました。 | 平成に入って、全国新酒鑑評会 金賞を７回受賞するなど、今なお高い評価を得ています。 | 高い醸造技術で極上の日本酒を醸す蔵元「福美人」より、おもわずひざ打つ感動の名酒をご提供しております。,2026-09-06
福美人酒造,福美人,大吟醸 蔵乃華 （ くらのはな ）,収録,,蔵の公式直売ページでは、旧地名「福神」と「美人のようにふくよかで、やさしく穏やかな味」を目指したことが名の由来と説明される。1917年の創業以来、蔵の主銘柄として続いている。,2026-09-06時点で公式商品ページに現行品として掲載され、大吟醸、使用米 山田錦（兵庫県産100%）、精米歩合 40%の設計で展開されている。,現行商品位置づけ,https://www.fukubijin.co.jp/SHOP/1020.html,,,福美人酒造株式会社 [ フクビジン ] 全国の名杜氏を養成した蔵元より、高品質な日本酒をお届けします！ | 創業当初より、酒造りの技術力のたかさから、全国より酒造りを学びに来られたため、そう呼ばれるようになりました。 | 平成に入って、全国新酒鑑評会 金賞を７回受賞するなど、今なお高い評価を得ています。 | 高い醸造技術で極上の日本酒を醸す蔵元「福美人」より、おもわずひざ打つ感動の名酒をご提供しております。,2026-09-06
福美人酒造,福美人,大吟醸 西條酒造学校,収録,,蔵の公式直売ページでは、旧地名「福神」と「美人のようにふくよかで、やさしく穏やかな味」を目指したことが名の由来と説明される。1917年の創業以来、蔵の主銘柄として続いている。,福美人が創業当初から高い醸造技術で全国の酒造技術者を育て、「西條酒造学校」と呼ばれた歴史を商品名に受け継ぐ大吟醸。蔵そのものの技術史を銘柄名として伝える商品である。,個別沿革確認,https://www.fukubijin.co.jp/SHOP/1120.html,,,福美人酒造株式会社 [ フクビジン ] 全国の名杜氏を養成した蔵元より、高品質な日本酒をお届けします！ | 創業当初より、酒造りの技術力のたかさから、全国より酒造りを学びに来られたため、そう呼ばれるようになりました。 | 平成に入って、全国新酒鑑評会 金賞を７回受賞するなど、今なお高い評価を得ています。 | 高い醸造技術で極上の日本酒を醸す蔵元「福美人」より、おもわずひざ打つ感動の名酒をご提供しております。,2026-09-06
福美人酒造,福美人,広島の酒,収録,,蔵の公式直売ページでは、旧地名「福神」と「美人のようにふくよかで、やさしく穏やかな味」を目指したことが名の由来と説明される。1917年の創業以来、蔵の主銘柄として続いている。,福美人の公式直売ページが「蔵の特徴をもっとも感じる酒」と位置づける商品。全国の杜氏を育てた蔵の酒質を、日常的な価格帯で伝える現行ラインとして継続している。,個別沿革確認,https://www.fukubijin.co.jp/SHOP/3110.html,,,福美人酒造株式会社 [ フクビジン ] 全国の名杜氏を養成した蔵元より、高品質な日本酒をお届けします！ | 創業当初より、酒造りの技術力のたかさから、全国より酒造りを学びに来られたため、そう呼ばれるようになりました。 | 平成に入って、全国新酒鑑評会 金賞を７回受賞するなど、今なお高い評価を得ています。 | 高い醸造技術で極上の日本酒を醸す蔵元「福美人」より、おもわずひざ打つ感動の名酒をご提供しております。,2026-09-06
福美人酒造,福美人,本醸造 舞,収録,,蔵の公式直売ページでは、旧地名「福神」と「美人のようにふくよかで、やさしく穏やかな味」を目指したことが名の由来と説明される。1917年の創業以来、蔵の主銘柄として続いている。,2026-09-06時点で公式商品ページに現行品として掲載され、本醸造、精米歩合 60%の設計で展開されている。,現行商品位置づけ,https://www.fukubijin.co.jp/SHOP/3010.html,,,福美人酒造株式会社 [ フクビジン ] 全国の名杜氏を養成した蔵元より、高品質な日本酒をお届けします！ | 創業当初より、酒造りの技術力のたかさから、全国より酒造りを学びに来られたため、そう呼ばれるようになりました。 | 平成に入って、全国新酒鑑評会 金賞を７回受賞するなど、今なお高い評価を得ています。 | 高い醸造技術で極上の日本酒を醸す蔵元「福美人」より、おもわずひざ打つ感動の名酒をご提供しております。,2026-09-06
福美人酒造,福美人,樽酒,収録,,蔵の公式直売ページでは、旧地名「福神」と「美人のようにふくよかで、やさしく穏やかな味」を目指したことが名の由来と説明される。1917年の創業以来、蔵の主銘柄として続いている。,福美人の公式直売ページで「祝いの席におきたい樽酒」と案内される祝宴向け商品。通常瓶とは役割を分け、慶事・鏡開きなど日本酒の儀礼的な用途を受け持つ商品として展開されている。,個別沿革確認,https://www.fukubijin.co.jp/SHOP/3220.html,,,福美人酒造株式会社 [ フクビジン ] 全国の名杜氏を養成した蔵元より、高品質な日本酒をお届けします！ | 創業当初より、酒造りの技術力のたかさから、全国より酒造りを学びに来られたため、そう呼ばれるようになりました。 | 平成に入って、全国新酒鑑評会 金賞を７回受賞するなど、今なお高い評価を得ています。 | 高い醸造技術で極上の日本酒を醸す蔵元「福美人」より、おもわずひざ打つ感動の名酒をご提供しております。,2026-09-06
福美人酒造,福美人,特別純米酒「ひめあま」,収録,,蔵の公式直売ページでは、旧地名「福神」と「美人のようにふくよかで、やさしく穏やかな味」を目指したことが名の由来と説明される。1917年の創業以来、蔵の主銘柄として続いている。,2026-09-06時点で公式商品ページに現行品として掲載され、特別純米、使用米 国産米、精米歩合 60%の設計で展開されている。,現行商品位置づけ,https://www.fukubijin.co.jp/SHOP/2080.html,,,福美人酒造株式会社 [ フクビジン ] 全国の名杜氏を養成した蔵元より、高品質な日本酒をお届けします！ | 創業当初より、酒造りの技術力のたかさから、全国より酒造りを学びに来られたため、そう呼ばれるようになりました。 | 平成に入って、全国新酒鑑評会 金賞を７回受賞するなど、今なお高い評価を得ています。 | 高い醸造技術で極上の日本酒を醸す蔵元「福美人」より、おもわずひざ打つ感動の名酒をご提供しております。,2026-09-06
福美人酒造,福美人,純米吟醸,収録,,蔵の公式直売ページでは、旧地名「福神」と「美人のようにふくよかで、やさしく穏やかな味」を目指したことが名の由来と説明される。1917年の創業以来、蔵の主銘柄として続いている。,2026-09-06時点で公式商品ページに現行品として掲載され、純米吟醸、使用米 国産米、精米歩合 60%の設計で展開されている。,現行商品位置づけ,https://www.fukubijin.co.jp/SHOP/1221.html,,,福美人酒造株式会社 [ フクビジン ] 全国の名杜氏を養成した蔵元より、高品質な日本酒をお届けします！ | 創業当初より、酒造りの技術力のたかさから、全国より酒造りを学びに来られたため、そう呼ばれるようになりました。 | 平成に入って、全国新酒鑑評会 金賞を７回受賞するなど、今なお高い評価を得ています。 | 高い醸造技術で極上の日本酒を醸す蔵元「福美人」より、おもわずひざ打つ感動の名酒をご提供しております。,2026-09-06
福美人酒造,福美人,純米酒,収録,,蔵の公式直売ページでは、旧地名「福神」と「美人のようにふくよかで、やさしく穏やかな味」を目指したことが名の由来と説明される。1917年の創業以来、蔵の主銘柄として続いている。,2026-09-06時点で公式商品ページに現行品として掲載され、純米、使用米 国産米、精米歩合 60%の設計で展開されている。,現行商品位置づけ,https://www.fukubijin.co.jp/SHOP/2020.html,,,福美人酒造株式会社 [ フクビジン ] 全国の名杜氏を養成した蔵元より、高品質な日本酒をお届けします！ | 創業当初より、酒造りの技術力のたかさから、全国より酒造りを学びに来られたため、そう呼ばれるようになりました。 | 平成に入って、全国新酒鑑評会 金賞を７回受賞するなど、今なお高い評価を得ています。 | 高い醸造技術で極上の日本酒を醸す蔵元「福美人」より、おもわずひざ打つ感動の名酒をご提供しております。,2026-09-06
福美人酒造,福美人,純金箔入り,収録,,蔵の公式直売ページでは、旧地名「福神」と「美人のようにふくよかで、やさしく穏やかな味」を目指したことが名の由来と説明される。1917年の創業以来、蔵の主銘柄として続いている。,金箔を加えた祝儀・贈答向け商品として福美人の現行ラインに置かれている一本。蔵元ページでは搾りたてを思わせる濃厚で芳醇な旨味を特徴として案内されている。,個別沿革確認,https://www.fukubijin.co.jp/SHOP/3818.html,,,福美人酒造株式会社 [ フクビジン ] 全国の名杜氏を養成した蔵元より、高品質な日本酒をお届けします！ | 創業当初より、酒造りの技術力のたかさから、全国より酒造りを学びに来られたため、そう呼ばれるようになりました。 | 平成に入って、全国新酒鑑評会 金賞を７回受賞するなど、今なお高い評価を得ています。 | 高い醸造技術で極上の日本酒を醸す蔵元「福美人」より、おもわずひざ打つ感動の名酒をご提供しております。,2026-09-06
福美人酒造,福美人,蔵内限定 甘い口どけ豊醇原酒,収録,,蔵の公式直売ページでは、旧地名「福神」と「美人のようにふくよかで、やさしく穏やかな味」を目指したことが名の由来と説明される。1917年の創業以来、蔵の主銘柄として続いている。,限定商品として展開される。原酒という仕立てで通常品と区別される。2026-09-06時点で公式商品ページに現行品として掲載され、精米歩合 70%の設計で展開されている。,現行商品位置づけ,https://www.fukubijin.co.jp/SHOP/2203.html,,,福美人酒造株式会社 [ フクビジン ] 全国の名杜氏を養成した蔵元より、高品質な日本酒をお届けします！ | 創業当初より、酒造りの技術力のたかさから、全国より酒造りを学びに来られたため、そう呼ばれるようになりました。 | 平成に入って、全国新酒鑑評会 金賞を７回受賞するなど、今なお高い評価を得ています。 | 高い醸造技術で極上の日本酒を醸す蔵元「福美人」より、おもわずひざ打つ感動の名酒をご提供しております。,2026-09-06
西條鶴醸造,西條鶴,吟醸酒「ゴールド西條鶴」,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,西條鶴の吟醸酒定番として展開され、公式商品ページではモンドセレクション連続金賞の実績を掲げる。国際品評会での評価を商品名「ゴールド」とともに訴求してきた商品である。,個別沿革確認,https://saijotsuru.co.jp/?pid=157617449,,,モンドセレクション連続金賞!! とーっても飲みやすくてクセのないスッキリとしたお酒です。,2026-09-06
西條鶴醸造,西條鶴,広島流辛口吟醸 吟醸生酒,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,生酒という仕立てで通常品と区別される。2026-09-06時点で公式商品ページに現行品として掲載され、吟醸の設計で展開されている。,現行商品位置づけ,https://saijotsuru.co.jp/?pid=178569049,,,東広島造賀産酒米を100％使用!!さわやかな香りとキレの良い酸が調和した 旨味の芳醇辛口です!!,2026-09-06
西條鶴醸造,西條鶴,新・生酛純米原酒「Natural」,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,原酒・生酛という仕立てで通常品と区別される。2026-09-06時点で公式商品ページに現行品として掲載され、純米の設計で展開されている。,現行商品位置づけ,https://saijotsuru.co.jp/?pid=168115135,,,2022年『純米原酒プレミアム13・Natural』は広島工業大学様と熊本県酒造研究所（香露）様が共同研究され生まれた熊本酵母を使い小さな仕込みで新しい生酛造りにチャレンジ。生酛・熊本酵母の力強さ＋熊本酵母の『和』を感じる爽やかで上品な香り、深みある味わいと乳酸菌のナチュラルでキレのある酸が食事に寄り添います。飲み飽きせず、ゆっくり飲み続けられる純米原酒13に仕上がりました。Only Oneの希有な西條鶴を楽しみください。,2026-09-06
西條鶴醸造,西條鶴,純米『愛山』70,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,兵庫県産愛山を70%精米で生かす純米酒として季節展開され、2026年は4月1日に蔵元から販売案内された。高精白ではなく酒米の個性を残す設計を前面に出した現行商品である。,個別沿革確認,https://saijotsuru.co.jp/?pid=191215726,,,"酒米のダイヤモンド""愛山（あいやま）""で醸す特別限定品。愛山の優しい旨味とキレが楽しめる純米酒です。",2026-09-06
西條鶴醸造,西條鶴,純米にごり酒（微発泡タイプ生酒）,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,生酒・にごりという仕立てで通常品と区別される。2026-09-06時点で公式商品ページに現行品として掲載され、純米の設計で展開されている。,現行商品位置づけ,https://saijotsuru.co.jp/?pid=155394785,,,"この商品（【季節限定酒】純米にごり酒（微発泡タイプ生酒））は20歳未満の方には販売できません。 | [ はい ] [ いいえ ] Copyright © Saijotsuru Sake Brewing Co., Ltd. All rights reserved. こちらの商品が カートに入りました 【季節限定酒】純米にごり酒（微発泡タイプ生酒） かごの中身を見る または、今すぐ購入 ショッピングを続ける ショッピングを続ける Amazon Payで決済中です。",2026-09-06
西條鶴醸造,西條鶴,純米吟醸「大地の冠」,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,西條鶴の「大地」を冠する純米吟醸として現行商品群を構成する一本。公式商品ページでは、酸味と辛さをやわらかくまとめた上品な酒質を掲げ、純米酒「大地の風」より上位の吟醸設計として展開されている。,個別沿革確認,https://saijotsuru.co.jp/?pid=157617368,,,酸味と辛さがやわらかく、とても上品な深みのあるスッキリしたお酒です。,2026-09-06
西條鶴醸造,西條鶴,純米吟醸「雄町・秋あがり」,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,雄町を使う秋限定の純米吟醸として継続展開され、2026年は8月31日に蔵元から販売案内された。ひと夏を越してまとまった酒質を「秋あがり」として出す季節商品の位置づけを持つ。,個別沿革確認,https://saijotsuru.co.jp/?pid=154356132,,,"この商品（【数量限定】純米吟醸「雄町・秋あがり」）は20歳未満の方には販売できません。 | [ はい ] [ いいえ ] Copyright © Saijotsuru Sake Brewing Co., Ltd. All rights reserved. こちらの商品が カートに入りました 【数量限定】純米吟醸「雄町・秋あがり」 かごの中身を見る または、今すぐ購入 ショッピングを続ける ショッピングを続ける Amazon Payで決済中です。",2026-09-06
西條鶴醸造,西條鶴,純米大吟醸「西鶴」,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,蔵名の「西條鶴」を縮めた「西鶴」を名に持つ純米大吟醸。公式商品ページでは「広島流辛口純米大吟醸」と位置づけ、華やかな香りとキレる酸を両立する上位商品として展開されている。,個別沿革確認,https://saijotsuru.co.jp/?pid=157617273,,,広島流辛口純米大吟醸。 ブドウを想わせる華やかな、キリッとした酸味の中にちょっとした辛さがクセなりそう!?,2026-09-06
西條鶴醸造,西條鶴,純米大吟醸原酒「神髄」,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,西條鶴が「全てを凝縮した一本」と位置づける代表的な純米大吟醸原酒。モンドセレクションで1999年から25年連続金賞以上を受賞し、2023年には25年間の品質維持に対するプレステージトロフィーを受賞した。,個別沿革確認,https://saijotsuru.co.jp/?pid=180817561,,,ご好評いただいております『純米大吟醸原酒『神髄』に酒蔵限定販売で500mlが加わりました。西條鶴のすべてを凝縮した一本、純米大吟醸原酒『神髄』。東広島・造賀産山田錦を中心とした広島県産米を贅沢に磨き、宮地杜氏の技を駆史し、 寒中に手造りで醸され香り、旨味、酸味が調和し一杯で日本酒の醍醐味を味わえる逸品です。華やかな上立ち香と口に含んだときのきれいな果物のような甘味、飲み込んだ後口は、きれいに切れていきながらも長く続く余韻、西條鶴のフラッグシップ、広島を代表する純米大吟醸原酒。,2026-09-06
西條鶴醸造,西條鶴,純米大吟醸原酒「飛天空」,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,原酒という仕立てで通常品と区別される。2026-09-06時点で公式商品ページに現行品として掲載され、純米大吟醸の設計で展開されている。,現行商品位置づけ,https://saijotsuru.co.jp/?pid=154356442,,,「西條鶴」最高位の純米大吟醸。 毎年1本のみ仕込を行う全国新酒鑑評会に出品する純米大吟醸原酒の貴重な「中汲み雫酒」。杜氏渾身の逸品。,2026-09-06
西條鶴醸造,西條鶴,純米生原酒,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,生原酒・原酒という仕立てで通常品と区別される。2026-09-06時点で公式商品ページに現行品として掲載され、純米の設計で展開されている。,現行商品位置づけ,https://saijotsuru.co.jp/?pid=154356753,,,しぼった後に水も加えず火入れをしないでそのまま瓶詰め… みずみずしい香り、さわやかな味のふくらみがgood!!スッキリ甘みなお酒です。,2026-09-06
西條鶴醸造,西條鶴,純米酒「大地の風」,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,西條鶴の「大地」を冠する純米酒として現行ラインを構成し、冷酒から熱燗まで季節をまたいで楽しむ食中酒として設計されている。純米吟醸「大地の冠」と対になる商品群の一つである。,個別沿革確認,https://saijotsuru.co.jp/?pid=157617524,,,香りが柔らかで、キリッとした酸味が広がる口当たり。辛さもしっかりしていてスッキリ。 夏は冷やで、冬は熱燗で楽しめます。,2026-09-06
西條鶴醸造,西條鶴,辛口純米酒『きんさいや』,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,商品名の「きんさいや」は広島弁の「いらっしゃい」に由来。広島各地の郷土料理と楽しめる酒を目標に設計され、地域の食文化との結び付きを商品名と酒質の両方に持たせた純米酒である。,個別沿革確認,https://saijotsuru.co.jp/?pid=189850838,,,『きんさいや』とは広島弁で『いらっしゃい』という意味です。広島のそれぞれの地域料理と楽しんでいただけるお酒を目指し、仕上げました。,2026-09-06
西條鶴醸造,西條鶴,酒蔵限定酒・杜氏入魂無濾過純米生酒,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,蔵元限定で展開される。生酒という仕立てで通常品と区別される。2026-09-06時点で公式商品ページに現行品として掲載され、純米の設計で展開されている。,現行商品位置づけ,https://saijotsuru.co.jp/?pid=154356283,,,"この商品（酒蔵限定酒・杜氏入魂無濾過純米生酒）は20歳未満の方には販売できません。 | [ はい ] [ いいえ ] Copyright © Saijotsuru Sake Brewing Co., Ltd. All rights reserved. こちらの商品が カートに入りました 酒蔵限定酒・杜氏入魂無濾過純米生酒 かごの中身を見る または、今すぐ購入 ショッピングを続ける ショッピングを続ける Amazon Payで決済中です。",2026-09-06
西條鶴醸造,西條鶴,酒蔵限定酒・無濾過純米吟醸生酒,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,蔵元限定で展開される。生酒という仕立てで通常品と区別される。2026-09-06時点で公式商品ページに現行品として掲載され、純米吟醸の設計で展開されている。,現行商品位置づけ,https://saijotsuru.co.jp/?pid=154356266,,,"この商品（酒蔵限定酒・無濾過純米吟醸生酒）は20歳未満の方には販売できません。 | [ はい ] [ いいえ ] Copyright © Saijotsuru Sake Brewing Co., Ltd. All rights reserved. こちらの商品が カートに入りました 酒蔵限定酒・無濾過純米吟醸生酒 かごの中身を見る または、今すぐ購入 ショッピングを続ける ショッピングを続ける Amazon Payで決済中です。",2026-09-06
西條鶴醸造,西條鶴,酒蔵限定酒・無濾過純米生酒,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,蔵元限定で展開される。生酒という仕立てで通常品と区別される。2026-09-06時点で公式商品ページに現行品として掲載され、純米の設計で展開されている。,現行商品位置づけ,https://saijotsuru.co.jp/?pid=154356253,,,"この商品（酒蔵限定酒・無濾過純米生酒）は20歳未満の方には販売できません。 | [ はい ] [ いいえ ] Copyright © Saijotsuru Sake Brewing Co., Ltd. All rights reserved. こちらの商品が カートに入りました 酒蔵限定酒・無濾過純米生酒 かごの中身を見る または、今すぐ購入 ショッピングを続ける ショッピングを続ける Amazon Payで決済中です。",2026-09-06
西條鶴醸造,西條鶴,酒蔵限定酒・純米吟醸「備前雄町」,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,蔵元限定で展開される。2026-09-06時点で公式商品ページに現行品として掲載され、純米吟醸の設計で展開されている。,現行商品位置づけ,https://saijotsuru.co.jp/?pid=154356303,,,"この商品（酒蔵限定酒・純米吟醸「備前雄町」）は20歳未満の方には販売できません。 | [ はい ] [ いいえ ] Copyright © Saijotsuru Sake Brewing Co., Ltd. All rights reserved. こちらの商品が カートに入りました 酒蔵限定酒・純米吟醸「備前雄町」 かごの中身を見る または、今すぐ購入 ショッピングを続ける ショッピングを続ける Amazon Payで決済中です。",2026-09-06
西條鶴醸造,西條鶴,酒蔵限定酒・純米大吟醸原酒,収録,,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,蔵元限定で展開される。原酒という仕立てで通常品と区別される。2026-09-06時点で公式商品ページに現行品として掲載され、純米大吟醸の設計で展開されている。,現行商品位置づけ,https://saijotsuru.co.jp/?pid=154356394,,,"この商品（酒蔵限定酒・純米大吟醸原酒）は20歳未満の方には販売できません。 | [ はい ] [ いいえ ] Copyright © Saijotsuru Sake Brewing Co., Ltd. All rights reserved. こちらの商品が カートに入りました 酒蔵限定酒・純米大吟醸原酒 かごの中身を見る または、今すぐ購入 ショッピングを続ける ショッピングを続ける Amazon Payで決済中です。",2026-09-06
賀茂泉酒造,COKUN,COKUN,収録,,赤色発色酵母の自然な働きでピンク色に仕上げるアルコール8度の低アルコール系列。COKUNとCOKUN＋が展開され、従来の賀茂泉とは異なる甘酸っぱい入口商品として定着している。,赤色発色酵母の働きで自然なピンク色を生み、アルコール8度の甘酸っぱい低アルコール酒として展開されてきた現代的商品。COKUN＋を含む系列も流通し、通常の純米酒とは異なる入口商品を担っている。,個別沿革確認,https://www.kamoizumi.co.jp/sake/index.php,,,HOME > 酒 酒 カテゴリー： 純米大吟醸 純米吟醸酒 純米酒 梅酒・低アルコール酒 純米大吟醸 「壽」 純米大吟醸 賀茂泉の醸造技術の極み。 | 最上級の酒造好適米を限界まで精米し、低温でゆっくりと発酵させ、全く圧力をかけず搾った、杜氏の経験と技の結晶です。 | 使用米：山田錦100%(広島県東広島市造賀地区産米100%) 精米歩合：40% アルコ―ル度数：16度 オンラインショップ 「延寿」 純米大吟醸 清らかな酒都・西条の伏流水と広島杜氏伝承の技で醸した純米大吟醸酒,2026-09-06
賀茂泉酒造,ROCK HOPPER,Rock Hopper Moon Walk,収録,,イワトビペンギンをモチーフにした季節酒シリーズ。純米吟醸生原酒の夏酒として展開され、2026年には秋限定ひやおろし「Moon Walk」を新発売して、夏から秋へシリーズを拡張した。,夏酒「RockHopper」から派生した初の秋限定ひやおろしとして、2026年8月26日に発表され9月2日に新発売。季節シリーズを夏から秋へ拡張した商品である。,個別沿革確認,https://online.kamoizumi.com/?pid=193198460,,,本仕込賀茂泉の直営オンラインショップ,2026-09-06
賀茂泉酒造,ROCK HOPPER,純米吟醸生原酒 ROCK HOPPER,収録,,イワトビペンギンをモチーフにした季節酒シリーズ。純米吟醸生原酒の夏酒として展開され、2026年には秋限定ひやおろし「Moon Walk」を新発売して、夏から秋へシリーズを拡張した。,イワトビペンギンをモチーフにした夏季の純米吟醸生原酒として展開され、2026年は4月7日に蔵出荷。2026年秋には派生商品Moon Walkが加わり、季節シリーズの起点となった。,個別沿革確認,https://www.kamoizumi.co.jp/sake/index.php,,,HOME > 酒 酒 カテゴリー： 純米大吟醸 純米吟醸酒 純米酒 梅酒・低アルコール酒 純米大吟醸 「壽」 純米大吟醸 賀茂泉の醸造技術の極み。 | 最上級の酒造好適米を限界まで精米し、低温でゆっくりと発酵させ、全く圧力をかけず搾った、杜氏の経験と技の結晶です。 | 使用米：山田錦100%(広島県東広島市造賀地区産米100%) 精米歩合：40% アルコ―ル度数：16度 オンラインショップ 「延寿」 純米大吟醸 清らかな酒都・西条の伏流水と広島杜氏伝承の技で醸した純米大吟醸酒,2026-09-06
